site,invoice_commodity_group,GA_weighted_avg,GA_median,GA_75th,xgs_weighted_avg,xgs_median,xgs_75th,hist_weighted_avg_all,hist_median_all,hist_75th_all,Recommended,Recommended_weighted_avg,Recommended_median,Recommended_75th
CCS,1CBL,0.8311109038915809,1.07018957345971,1.28407972683294,0.6272816812756428,0.5616038361636866,1.4572441675503625,0.9967948910925246,1.05212943074282,1.33296296296296,1.4129407407407377,1.0566025845580762,1.1344009478672927,1.4129407407407377
CCS,1CPT,0.9503602180254606,1.4175,1.7560975609756,0.9084544482579097,0.936671575846833,1.21976373523345,1.3501640543843008,1.42059351051687,1.845,1.9557,1.431173897647359,1.5058291211478825,1.9557
CCS,1VNL,0.09191346850572099,0.1667644459192575,0.26443322758181326,0.115650221266277,0.192451241437381,0.290046368730976,0.13330227560534394,0.163568515687106,0.29213739296574226,0.3096656365436868,0.14130041214166458,0.17677031267441295,0.3096656365436868
CCSG,1CBL,1.1796620770680604,1.1144428571428548,1.3590552366253625,0.7771044112550811,1.11026648300134,1.2806909338083625,1.2588271284353354,1.20876923076923,1.64538461538461,1.7441076923076866,1.3343567561414555,1.2812953846153838,1.7441076923076866
CCSG,1CPT,1.320415448056931,1.44412355551015,2.51268601190476,0.7085790403304582,0.936668887079663,1.301,1.353926795455515,1.447031410760755,2.785434210526315,2.952560263157894,1.435162403182846,1.5338532954064004,2.952560263157894
CCSG,1VNL,0.14149103049021222,0.213199235308785,0.260409134386808,0.1027986685736434,0.149166322171696,0.2803534068678105,0.08650353983506462,0.198778845290473,0.38907054979745,0.41241478278529703,0.14998049231962496,0.2259911894273121,0.41241478278529703
DIT,1CBL,0.4841732514183769,1.03500177412524,1.193590048840045,0.3474062561398849,0.487222222222222,0.868612485939257,0.697774388402057,1.039502662070355,1.7127606635071075,1.8155263033175342,0.7396408517061804,1.1018728217945764,1.8155263033175342
DIT,1CPT,1.0544209057009515,1.42736486486486,2.348125,0.75860741174099,0.828258697823915,1.64549694548872,3.369502439306093,1.47467166979362,2.571499999999995,3.5716725856644587,3.5716725856644587,1.5631519699812373,2.725789999999995
DIT,1VNL,0.1027898820889439,0.187510547468295,0.29750547664476,0.1258607350042468,0.232440578162214,0.2867600736613923,0.12139248321860846,0.151040418085055,0.28445294313269,0.31535580524344564,0.12867603221172497,0.19876118031639273,0.31535580524344564
PVF,1CBL,2.0283994873604607,1.61178571428571,1.9876071428571425,1.1082177108292,2.205,9.9225,2.3541549924066536,2.38542857142857,2.89500887644942,3.0687094090363853,2.495404291951053,2.5285542857142844,3.0687094090363853
PVF,1CPT,1.63856190189317,1.81146869539274,2.66660071942446,1.397919087808422,1.29070966532295,2.480237523430175,2.3356124467107087,1.86436538461538,3.03611111111111,3.218277777777777,2.475749193513351,1.976227307692303,3.218277777777777
