site,invoice_commodity_group,GA_weighted_avg,GA_median,GA_75th,xgs_weighted_avg,xgs_median,xgs_75th,hist_weighted_avg_all,hist_median_all,hist_75th_all,Recommended_weighted_avg,Recommended_median,Recommended_75th
CCS,1CBL,1.0518992106935874,1.061159502101265,1.31898113052076,0.6121783992940053,0.5616038361636866,1.35520833333333,0.9967948910925246,1.05212943074282,1.33296296296296,1.1150131633352027,1.1248290722273409,1.4129407407407377
CCS,1CPT,1.2972532025743857,1.4168358927497802,1.57303125,0.8951250759087636,0.9366742963894125,1.2544833896396326,1.3501640543843008,1.42059351051687,1.845,1.431173897647359,1.5058291211478825,1.9557
CCS,1VNL,0.15553865114183357,0.1667644459192575,0.26443322758181326,0.13025943741361046,0.192452187618682,0.26686648303393345,0.13330227560534394,0.163568515687106,0.29213739296574226,0.16487097021034358,0.17677031267441295,0.3096656365436868
CCSG,1CBL,1.1796620770680604,1.1144428571428548,1.3590552366253625,0.7771044112550811,1.11026648300134,1.2806909338083625,1.2588271284353354,1.20876923076923,1.64538461538461,1.3343567561414555,1.2812953846153838,1.7441076923076866
CCSG,1CPT,1.3460944754116102,1.447031410760755,2.74083581349206,0.7029243705169808,0.9366690362132706,1.2806909338083625,1.353926795455515,1.447031410760755,2.785434210526315,1.435162403182846,1.5338532954064004,2.952560263157894
CCSG,1VNL,0.14149103049021222,0.213199235308785,0.260409134386808,0.1027986685736434,0.149166322171696,0.2803534068678105,0.08650353983506462,0.198778845290473,0.38907054979745,0.14998049231962496,0.2259911894273121,0.41241478278529703
DIT,1CBL,0.6403854635605484,1.03500177412524,1.193590048840045,0.3385256664960617,0.487225806451612,0.726242857142857,0.697774388402057,1.039502662070355,1.7127606635071075,0.7396408517061804,1.1018728217945764,1.8155263033175342
DIT,1CPT,1.2095710374352002,1.4621,2.36249107142857,0.7377446337408288,0.82825780255325,1.50257142857142,3.369502439306093,1.47467166979362,2.571499999999995,3.5716725856644587,1.5631519699812373,2.725789999999995
DIT,1VNL,0.1745836297469595,0.187510547468295,0.29750547664476,0.14321889153262365,0.232443237534887,0.282623673694364,0.12139248321860846,0.151040418085055,0.28445294313269,0.1850586475317771,0.19876118031639273,0.31535580524344564
FSU,1CBL,0.7430031426740428,0.619594150462786,0.6658326712120443,1.3722643580749194,1.4108923720712552,1.4109129870129826,0.7406470619325112,0.6196,0.882723263543558,0.7875833312344854,0.656776,0.9356866593561716
FSU,1CPT,0.9585235264757916,0.9342373187866515,1.79715719063545,1.9758207480475634,2.39855263543406,2.564001062816945,0.9294055236655431,0.89125,1.36801470588235,1.0160349380643392,0.9902915579138506,1.9049866220735772
FSU,1VNL,0.09005744180033597,0.11377858582151601,0.23512801128293626,0.11182494862430782,0.170256745107746,0.22797522308952076,0.09949281474383768,0.117095574563034,0.276645416180299,0.10546238362846795,0.12412130903681605,0.2932441411511169
KFC,1CBL,1.0101500800970502,0.961226054164428,1.77083936609152,0.8617824392807315,1.486025438596485,2.73705732821195,1.0095114249543267,0.965307079231129,1.61875829534306,1.0707590849028732,1.023225503984997,1.8770897280570114
KFC,1CPT,0.9707345466919234,1.28729512954529,2.002461514237168,0.9932590148018052,1.209554951690815,2.629709959697895,0.9919291499889673,1.2916,2.1790625,1.0514448989883054,1.369096,2.3098062500000003
KFC,1VNL,0.1031646675072536,0.146183925703512,0.309694440538237,0.12044031881558356,0.18295450733987,0.3645189500599395,0.11190870595531006,0.188173918098061,0.521078007170231,0.11862322831262867,0.19946435318394468,0.5523426876004449
PVF,1CBL,2.0879309565767445,1.5005088948787,3.859816990026015,0.8992299102099829,1.1284420525182526,2.22075,2.3541549924066536,2.38542857142857,2.89500887644942,2.495404291951053,2.5285542857142844,4.091406009427576
PVF,1CPT,1.7614456804563834,1.826345920022555,2.6842643592467725,1.2349902083071043,1.29070815171929,2.268,2.3356124467107087,1.86436538461538,3.03611111111111,2.475749193513351,1.976227307692303,3.218277777777777
PVF,1VNL,0.28820141286164463,0.3594356805216875,0.6232055913759258,0.19118126252018305,0.2704335475588925,0.47351572352084426,0.14894807906407065,0.256696737309625,0.516072550956271,0.3054934976333433,0.38100182135298877,0.6605979268584814
SPB,1CBL,0.6281111893871941,1.2393741450068352,1.3457071428571399,0.584621948233597,0.8718544278367075,1.9834464285714248,0.7367861171398872,1.2393741450068352,1.3494444116858726,0.7809932841682804,1.3137365937072454,1.430411076387025
SPB,1CPT,1.4544164680636658,1.70497185741088,1.95841694537346,1.260398223755472,1.44144220934197,1.49385032311861,1.464955163155,1.6820278846889,1.82655826558265,1.5528524729443,1.807270168855533,2.0759219620958675
SPB,1VNL,0.12817237192107261,0.246908152908243,0.285294629225209,0.1007596089110482,0.225840318902869,0.258046558704453,0.11163830420580464,0.230171487438167,0.305486522653412,0.13586271423633697,0.2617226420827376,0.3238157140126167
SPCB,1CBL,1.152877425495547,1.221607053895695,1.88080357142857,0.5405781530540872,0.8452500000000001,1.32234375,1.1703381769278636,1.3395,1.85470238095238,1.2405584675435355,1.41987,1.9936517857142844
SPCB,1CPT,1.1672365969355227,1.41486866791744,2.145,0.5984653212024532,0.813026749725174,0.81304836895388,1.1684945550101558,1.41443433395872,2.0100134408602073,1.2386042283107652,1.4997607879924866,2.2737000000000003
SPCB,1VNL,0.15194659969009056,0.233335723119387,0.382656108009866,0.09997290386029348,0.141066862646027,0.324878919194494,0.08301335432195096,0.2055709959513075,0.43290729758927576,0.161063395671496,0.24733586650655023,0.45888173544463234
