supplier_name,part_no,part_description,new_commodity_description,new_commodity_group
Happy Feet International LLC,1000003768,Happy Feet-Atlas-7in x 48in-20mil-Grey Fox (HF546),Vinyl Tile,1VNL
J.J. Haines & Company,1000015154,"Armstrong Natural creations earthcuts delano diamond 10 NA343 12""x24"" 0.125"" Grey Mist LVT",LVT,1VNL
Mohawk Industries,1000004206,Mohawk Umpteen Tone (BT595) 24in x 24in Ecoflex Matrix - Hotel (935),LVT,1VNL
Dal Tile Corporation,205505-003,Dal Tile Bellant 20 mil glue down 36in x 36in 2.5 MM - CONCRETE GREY (BL32),VCT,1VNL
Mohawk Industries,206789-016,Mohawk Matuto Plus Stone 20 Mil M-Force Ultra 12in x 24in 2.5 MM - Grey Granite Stone (959A),VCT,1VNL
Spartan Surfaces,184342-009,Shannon Specialty Floors Tuf Stuf Woodland Path Vinyl Tile Plank 6in x 36in 1/8in - Santos Rosewood (WP57112),LVP,1VNL
"Interface Americas, Inc.",215204-002,Interface Northern Grain (A026xx) 22 mil LVT 25cm x 1m 4.5 mm - Antique Wash (06),LVT,1VNL
Mohawk Industries,206344-002,Mohawk Second Home Wood (C0141) 20 mil Floating Click 7.56in x 47.8in 6 mm - Rideshare Beige (837),VCT,1VNL
"Shaw Industries, Inc.",201533-005,Shaw Patcraft Painted Weft (I483V) LVT Gluedown 9in x 36in 3 MM - Heddle (00500),LVT,1VNL
Spartan Surfaces,197427-002,Cobalt Surfaces Katanga (KP5-xxx) 20 mil LooseLay 7in x 48in 5.0mm - POLAR (800),VCT,1VNL
B & M Noble Company dba DuChateau Floors,191650-006,DuChateau Floors DeLuxe Grand 20 Mil LuxCor w/ HushWalk Bevel Click 9in x 60in 8.0 MM - MOSET (VDG-MOS9),VCT,1VNL
"Mannington Mills, Inc.",201729-001,Mannington Assurance III Homogeneous Slip Resistant 6' 6in .080in - Cremello (16349),ROLL,1VNL
"Mannington Mills, Inc.",210833-016,Mannington BioSpec Armor Homogeneous Sheet 6' 6in .100in - MIRAGE (OR120),ROLL,1VNL
"Forbo Industries, Inc",154055-022,Forbo Marmoleum Composition Tile (MCT) 13in x 13in 2.0 MM - Shitake (MCT-3233),VCT,1VNL
"Forbo Industries, Inc",154055-035,Forbo Marmoleum Composition Tile (MCT) 13in x 13in 2.0 MM - Shell (MCT-3075),VCT,1VNL
"Mannington Mills, Inc.",194461-007,Mannington Color Anchor Stride 20 mil Micro-Bevel Glue Down Plank 12in x 24in 2.5 MM - GRASSY MEADOW (C125),LVP,1VNL
"Mannington Mills, Inc.",1000019342,"MANNINGTON THE DRIFT ABSTRACT 12"" x 24""30 mil D209 PAX CRYSTAL LVT",LVT,1VNL
Karndean International LLC,191758-002,Karndean Longboard 20 mil LooseLay 10in x 59in 4.5 mm - WEATHERED HEART PINE (LLP304),VCT,1VNL
Tarkett USA Inc,194237-019,Centiva Event Series Crafted Plank ECF (ECF) 30 mil Standard Square Edge (SE) 6in x 48in 3 MM - Tricorn (PECF 11213),LVP,1VNL
"Interface Americas, Inc.",191116-005,Interface Level Set Textured Woodgrains (A004) Luxury Vinyl Plank 22 mil 25cm x 1m 4.5 mm - Grey Dune (A00405),LVP,1VNL
"Interface Americas, Inc.",215754-012,Interface Even Path Woodgrains (A05xxx) 22 mil Ceramor X Rigid Core Click 25cm x 1m 4.5 mm - Raven (009),VCT,1VNL
"Interface Americas, Inc.",195434-002,Interface tive Fabric (A008xx) Luxury Vinyl Plank 22 mil 50cm x 50cm 4.5 mm - Seagrass (02),LVP,1VNL
"Nora System, Inc",215657-002,Nora Noraplan Convia (Article 170F) Slip Resistant Smooth Surface 48in 2 MM - Silver Sand (7355),ROLL,1VNL
"Shaw Industries, Inc.",201579-008,Shaw Hospitality Designs Repose (4089V) 12 Mil Micro Beveled 7in x 48in 4.4mm - Pike (89760),VCT,1VNL
"Nora System, Inc",215002-002,Interface Interlaced Collection Crossed (A02xxx) Heterogeneous 6' - Putty (003),ROLL,1VNL
Lonseal Flooring,155427-002,Lonseal Lonmetro UV Heterogeneous 6' .080in - Fire Hydrant (660),ROLL,1VNL
"Lititz Flooring, Co",1000020532,"Ava Floor - Ryme - Beton - 39.37in"" x 39.37in"" - LVT - 4.5mm - Iron",LVT,1VNL
Spartan Surfaces,189937-031,Parterre Vinyl Floor System Ingrained 6in Vinyl Tile Plank 6in x 36in 3 MM - Natural Ash (21571),LVP,1VNL
"Forbo Industries, Inc",1000017321,"Forbo-Marmoleum Marbled 79"" 6mm - Style Fresco, Color Moonstone (3883)",ROLL,1VNL
Dal Tile Corporation,201659-003,Mohawk CYROSE 12 Mil Gluedown Planks 6in x 48in 2.0 MM - BARNWOOD (CY34),LVP,1VNL
Tarkett USA Inc,211388-006,Tarkett Event Classic Plank ECK 30 Mil Modern Wood 6in x 36in 3.05mm - Limed Oak (3309),VCT,1VNL
VAN GELDER INC,1000009007,"Portico - Van Gelder Nature's View, Earth Rustique 6"" x 36"" 40 MIL Weathered Barn Planks",Vinyl Tile,1VNL
"Mteriors, LLC",1000016566,"Quietlok	Flamed Oak 8.66"" x 59.45"" 22MIL Beppu LVT",LVT,1VNL
"Lititz Flooring, Co",1000017577,Novalis Innovative Flooring TO2D009 Vinyl (Ava 2DSGN) 6x48 22 mil - Tuscany Oak Medallion,LVT,1VNL
"Mannington Mills, Inc.",201245-008,Mannington Paradigm II Streamline .020in wear layer Heterogeneous sheet 6' .080in - PRECEDENT (PD217),ROLL,1VNL
Spartan Surfaces,1000007236,Teknoflor Nature's Plank HPD - Jasper Oak 8in x 48in 2.5mm - 20mil Wear Layer 89501 PLK Beach Luxury Vinyl Plank,LVP,1VNL
Spartan Surfaces,216229-001,Teknoflor Urbanscapes HPD 20 Mil Wearlayer 6' 2.3 MM - Soho (88077),ROLL,1VNL
Spartan Surfaces,199152-013,Teknoflor Rare Plank HPD 28 mil LVP 7in x 47in 3 MM - SISAL (89007RP),LVP,1VNL
"Mannington Mills, Inc.",184701-040,Mannington BioSpec MD Homogeneous 6' 6in .080in - Basic Black (15383),ROLL,1VNL
"Mannington Mills, Inc.",1000020315,"Mannington Realities III 6'6"" Sheet Vinyl - English Walnut Bleached (5687R)",ROLL,1VNL
"Shaw Industries, Inc.",195246-002,Shaw Commercial Hard Surfaces Crossover LL (I439V) 20 Mil Resilient Plank 7in x 48in Undefined - Beachscape (00250),LVP,1VNL
Milliken & Company,187378-002,Milliken Wood Kokutan Micro Beveled plank 7in x 48in 2.5 MM - KOK145 (KOK145),LVP,1VNL
All South Flooring,126795-013,Estrie Texas Granite Solid/Luxury Vinyl 36in x 36in .125 - White/Blue (VTG190),LVT,1VNL
All South Flooring,126796-025,American Biltrite Texas Granite Solid/Luxury Vinyl 36in x 36in .125 - PRIMARY RED (VTG157),LVT,1VNL
All South Flooring,126796-020,American Biltrite Texas Granite Solid/Luxury Vinyl 36in x 36in .125 - BOWLING GREEN (VTG134),LVT,1VNL
Mohawk Industries,181535-011,Mohawk Hot and Heavy Secoya (C0009) 20 Mil Floating LVT 9in x 59in 5.0mm - Arrowhead Creek (152),LVT,1VNL
"Mannington Mills, Inc.",201245-005,Mannington Paradigm II Streamline .020in wear layer Heterogeneous sheet 6' .080in - FOUNDATION (PD211),ROLL,1VNL
